pnr_number,train_number,train_name,coach_number,berth_number,boarding_station,destination_station,journey_date,journey_class
2876543210,12002,Bhopal Shatabdi Express,B1,20,New Delhi (NDLS),Bhopal (BPL),2026-07-18,CC
2876543211,22436,Varanasi Vande Bharat Express,A1,64,New Delhi (NDLS),Varanasi (BSB),2026-07-10,EC
8876543212,12951,Mumbai Rajdhani Express,S1,22,Mumbai Central (MMCT),New Delhi (NDLS),2026-07-08,2AC
2876543213,12004,Lucknow Shatabdi Express,B2,71,New Delhi (NDLS),Lucknow (LKO),2026-07-28,CC
4876543214,12295,Sanghamitra Express,C1,7,KSR Bengaluru (SBC),Danapur (DNR),2026-07-22,SL
8876543215,12001,Habibganj Shatabdi Express,C1,70,Habibganj (HBJ),New Delhi (NDLS),2026-07-15,CC
6876543216,12301,Howrah Rajdhani Express,A1,32,Howrah (HWH),New Delhi (NDLS),2026-07-15,1AC
6876543217,12801,Purushottam Express,S1,58,Puri (PURI),New Delhi (NDLS),2026-07-16,3AC
4876543218,12649,Karnataka Sampark Kranti Express,C2,10,Yesvantpur (YPR),Hazrat Nizamuddin (NZM),2026-07-19,SL
4876543219,12842,Coromandel Express,EC1,25,Chennai Central (MAS),Shalimar (SHM),2026-07-03,2AC
3876543220,12002,Bhopal Shatabdi Express,A1,7,New Delhi (NDLS),Bhopal (BPL),2026-07-16,CC
3876543221,22436,Varanasi Vande Bharat Express,S1,2,New Delhi (NDLS),Varanasi (BSB),2026-07-08,EC
9876543222,12951,Mumbai Rajdhani Express,A1,27,Mumbai Central (MMCT),New Delhi (NDLS),2026-07-24,2AC
3876543223,12004,Lucknow Shatabdi Express,C2,13,New Delhi (NDLS),Lucknow (LKO),2026-07-06,CC
5876543224,12295,Sanghamitra Express,S4,31,KSR Bengaluru (SBC),Danapur (DNR),2026-07-14,SL
9876543225,12001,Habibganj Shatabdi Express,S2,50,Habibganj (HBJ),New Delhi (NDLS),2026-07-25,CC
7876543226,12301,Howrah Rajdhani Express,B2,42,Howrah (HWH),New Delhi (NDLS),2026-07-24,1AC
7876543227,12801,Purushottam Express,C2,59,Puri (PURI),New Delhi (NDLS),2026-07-28,3AC
5876543228,12649,Karnataka Sampark Kranti Express,H1,42,Yesvantpur (YPR),Hazrat Nizamuddin (NZM),2026-07-20,SL
5876543229,12842,Coromandel Express,B2,13,Chennai Central (MAS),Shalimar (SHM),2026-07-23,2AC
2876543230,12002,Bhopal Shatabdi Express,A2,61,New Delhi (NDLS),Bhopal (BPL),2026-07-01,CC
2876543231,22436,Varanasi Vande Bharat Express,C2,46,New Delhi (NDLS),Varanasi (BSB),2026-07-28,EC
8876543232,12951,Mumbai Rajdhani Express,S4,45,Mumbai Central (MMCT),New Delhi (NDLS),2026-07-18,2AC
2876543233,12004,Lucknow Shatabdi Express,S3,57,New Delhi (NDLS),Lucknow (LKO),2026-07-08,CC
4876543234,12295,Sanghamitra Express,C2,9,KSR Bengaluru (SBC),Danapur (DNR),2026-07-12,SL
8876543235,12001,Habibganj Shatabdi Express,S2,34,Habibganj (HBJ),New Delhi (NDLS),2026-07-08,CC
6876543236,12301,Howrah Rajdhani Express,C1,46,Howrah (HWH),New Delhi (NDLS),2026-07-28,1AC
6876543237,12801,Purushottam Express,H1,69,Puri (PURI),New Delhi (NDLS),2026-07-07,3AC
4876543238,12649,Karnataka Sampark Kranti Express,C2,16,Yesvantpur (YPR),Hazrat Nizamuddin (NZM),2026-07-22,SL
