sla,rating,complaint_ref_no,incident_date,mode,channel_type,from_fois,complaint_type,sub_type,zn_cd,div_cd,dept_cd,\nSTATUS,\ncreated_on,modified_on,diff,complaint,remarks,train_station,own_zn_cd,own_div_cd,commodity_name,forwarded,train_class,berth_no,feedback_remarks,next_station,physical_coach_no,train_name
No,,2.02404E+12,,S,H,0,Catering & Vending Services,Overcharging ,NC,AGRA,CML,Closed,01-04-2024 00:00,01-04-2024 00:27,00:26,Customer has raised a complaint that there is over charging for water bottel ,"महोदय आपके द्वारा रेल मदद पर अंकित शिकायत को संभंधित खानपान निरीक्षक (मथुरा,) को जांच हेतु आपकी शिकायत अग्रसारित की जा चुकी जांच उपरांत आपकी शिकायत पर सक्षम अधिकारी द्वारा  नियमानुसार कार्यवाही की जाएगी ।",MTJ,,,,,,,,,,NA
No,,2.02404E+12,,T,H,0,Security,Others ,CR,SUR,RPF,Closed,01-04-2024 00:01,01-04-2024 00:24,00:23,customer complain passenger phone is fall down in the track parivari station before. mob no-9022760680 brand-redmi note 9 pro,"महोदय, आपकी शिकायत हमारे लिए अति महत्वपूर्ण है और  आपको हुई असुविधा के लिए हमे  खेद है। आरपीएफ पोस्ट KURDUWADI एवं engeneering कण्ट्रोल  को सूचित कर दिया है।  नियमानुसार आवश्यक कारवाई कर,आपके समस्या का समाधान करने का हर संभव प्रयत्न करेगा। ",1488,SC,NED,,1,,,,,,HGL-PUNE SPL [TRAIN ON DEMAND]
SLA 1,,2.02404E+12,31-03-2024 23:57,S,W,0,Cleanliness,Toilet,WR,BCT,CML,Closed,01-04-2024 00:01,01-04-2024 01:19,01:17,Toilet charges are taking double by all passengers ,"Hello sir, Thank you for bringing to our attention your concern regarding the overcharging by the Pay & Use attendant. We take such matters seriously and have initiated an investigation into the issue. Rest assured, the concerned official has been promptly notified to look into the matter thoroughly. We will ensure that appropriate action is taken against the contractor in accordance with the terms and conditions outlined in the contract. Please accept our sincere apologies for any inconvenience this may have caused you. We strive to provide excellent service and regret that we fell short of your expectations. Thank you for using RailMadad.",BVI,,,,,,,,,,NA
No,,2.02404E+12,31-03-2024 23:58,T,M,0,Security,Unauthorized person in Ladies/Disabled Coach/SLR/Reserve Coach,NR,MB,RPF,Closed,01-04-2024 00:01,01-04-2024 01:17,01:15,"PNR-2854152254 Trn:15014 Cls:SL P1-S1,57 Mob 9212478083. Very crowd in this coach.. talking very louder",गाड़ी को मुरादाबाद स्टेशन पर आरपीएफ स्टाफ द्वारा अटेंड कर शिकायत का समाधान कर दिया गया है। thanks for using Rail madad.,15014,NE,IZN,,3,,,,,,RANIKHET EXP  [MAIL EXPRESS]
No,,2.02404E+12,,T,H,0,Security,Theft of Passengers Belongings/Snatching,SB,R,RPF,Closed,01-04-2024 00:02,01-04-2024 00:50,00:48,Customer has complained roberrs have come inside the train  ,.प्रिय महोदय आशीष कुमार जी  आपको हो रही समस्या के बारे मे जानकर हमे दुख हुआ। हमारे कर्मचारी आपको सम्पर्क करेगे और चोरी हुई मोवाइल की सम्पूर्ण जानकारी लेगे ताकि आगामी पुलिस स्टेशन मे जीआरपी को पूरी शिकायत की जा सके। हमने आपकी शिकायत को जीआरपी एवं रेलवे सुरक्षा बल रायपुर को सूचित कर दिया है साथ ही साथ हमने अपने बोर्डिग री रूट उपस्थित कर्मचारी को संदेही व्यक्तियो की पहचान एवं गतबिधियो के लिये सतर्क कर दिया है। कृप्या आपके साथ घटी घटनाओ की ठीक ठाक जानकारी तथा चोरी हुए मोवाइल का विवरण देकर हमे सहयोग प्रदान  करने में मदद करेंगे हमारे द्वारा दिये गये प्रयासो के लिये आपका बहुमूल्य फीडबैक अपेक्षित है।,12859,SE,KGP,,2,,,,,,CSMT-HWH GITANJALI EXP [SUPERFAST]
No,Excellent,2.02404E+12,,S,H,0,Security,Others ,ER,SDAH,RPF,Closed,01-04-2024 00:02,01-04-2024 00:17,00:15,ek yatri station pe rahe gaye hai ,Made conversation with the complainant namely RAVI who stated that he with his family boarded in T NO- 13163 UP from sealdah station but his one lady member namely SATYABATI TANWAR left in sealdah station in platform number 11 or 14. She has no any  mobile. Her photo and details are sending with the complain. Matter forwarded to concern RPF officials for necessary action.Your complain is under process.,SDAH,,,,,,,Very good service,,,NA
No,,2.02404E+12,,S,H,0,Staff Behaviour,Staff Behaviour,NC,ALD,CML,Closed,01-04-2024 00:02,01-04-2024 01:39,01:36,"PASSENGER SAID TICKET COUNTER STAFF IS MISBEHAVE WITH HIM & HER MONEY IS NOT GIVE RETURN , PLEASE CHECK  NAME - SUBAN KUMAR ","As per conversation with passenger, he is saying that problem has resolved now there is no problem, ",MZP,,,,,,,,,,NA
SLA 2,Excellent,2.02404E+12,,T,H,0,Medical Assistance,Medical Assistance,NC,ALD,CML,Closed,01-04-2024 00:02,01-04-2024 02:20,02:18,EK PASSENGER KE PAR MAI CHUT LAG GYI HAI MEDICAL HELP CHYA,Medical attend by  Dr. ALTAB AHMAD at MZP.,12394,EC,DNR,,2,,,Thank you so much ,,,SAMPOORNA KRANTI EXPRESS [SUPERFAST]
No,Excellent,2.02404E+12,,T,H,0,Security,Unauthorized person in Ladies/Disabled Coach/SLR/Reserve Coach,SC,SC,RPF,Closed,01-04-2024 00:03,01-04-2024 00:19,00:16,Customer complained that There is an unauthorized person in the disabled coach Train No :-12721 Coach No :-Disable Coach. Customer mobile no:- 8698940579,DSCR SC spoke with the complainant he stated that he was travelling in the front disabled coach of above said train where unauthorized passengers were travelling. The same matter was informed to the filed unit RPF Bhongir to attend and clear them.,12721,SC,SC,,,,,Thanks,,,HYB-NZM DAKSHIN EXP [SUPERFAST]
No,,2.02404E+12,,T,H,0,Security,Unauthorized person in Ladies/Disabled Coach/SLR/Reserve Coach,NR,MB,RPF,Closed,01-04-2024 00:03,01-04-2024 01:24,01:20,About more unreserved passengers  no place to go even washroom in train complaint,शिकायतकर्ता विशाल पांडे ने बताया कि मेरी शिकायत का समाधान हो गया है। thanks for using Rail madad.,14042,NR,DLI,,3,,,,,,MUSSOORIE EXP [MAIL EXPRESS]
